team1,team2,toss_winner,venue,pitch_type,weather,total_score,wickets,overs,winner
CSK,LSG,CSK,Narendra Modi Stadium,Batting,Humid,199,10,5.1,CSK
MI,RR,MI,Wankhede Stadium,Batting,Cloudy,191,0,9.2,MI
RCB,MI,MI,Chepauk,Batting,Humid,216,5,10.2,MI
RR,CSK,CSK,Wankhede Stadium,Bowling,Cloudy,184,10,11.9,CSK
RR,CSK,CSK,Eden Gardens,Bowling,Hot,175,7,17.2,CSK
MI,RCB,RCB,Chinnaswamy Stadium,Bowling,Humid,145,6,8.2,MI
MI,DC,MI,Chepauk,Batting,Hot,227,9,6.8,DC
GT,SRH,GT,Chinnaswamy Stadium,Bowling,Cloudy,206,1,14.4,GT
LSG,RCB,RCB,Chepauk,Bowling,Hot,127,6,7.1,RCB
DC,GT,GT,Narendra Modi Stadium,Bowling,Hot,239,4,17.8,DC
RR,CSK,CSK,Eden Gardens,Bowling,Hot,155,6,19.5,CSK
DC,LSG,LSG,Narendra Modi Stadium,Batting,Humid,212,4,12.0,DC
PBKS,MI,MI,Wankhede Stadium,Bowling,Cloudy,220,1,14.1,MI
RR,KKR,KKR,Wankhede Stadium,Bowling,Cloudy,142,6,17.1,KKR
SRH,RCB,SRH,Chepauk,Balanced,Humid,170,7,17.0,SRH
SRH,PBKS,PBKS,Eden Gardens,Bowling,Cloudy,170,0,14.6,SRH
DC,LSG,DC,Chepauk,Batting,Hot,200,6,9.0,DC
GT,DC,DC,Narendra Modi Stadium,Bowling,Cloudy,250,2,14.1,DC
LSG,RR,LSG,Eden Gardens,Bowling,Cloudy,244,3,8.1,LSG
KKR,DC,KKR,Narendra Modi Stadium,Batting,Humid,226,10,8.9,DC
GT,RCB,GT,Chinnaswamy Stadium,Batting,Cloudy,226,3,14.4,RCB
MI,DC,MI,Chinnaswamy Stadium,Balanced,Hot,230,0,9.9,DC
CSK,MI,MI,Eden Gardens,Bowling,Humid,141,9,19.5,CSK
KKR,SRH,KKR,Chinnaswamy Stadium,Bowling,Hot,218,1,15.5,KKR
CSK,LSG,LSG,Chepauk,Batting,Humid,222,5,11.4,CSK
KKR,LSG,KKR,Eden Gardens,Balanced,Humid,168,2,12.7,KKR
SRH,PBKS,PBKS,Eden Gardens,Batting,Hot,197,8,12.0,PBKS
GT,KKR,GT,Wankhede Stadium,Bowling,Humid,243,6,13.5,GT
KKR,RCB,RCB,Narendra Modi Stadium,Batting,Hot,181,10,7.2,RCB
RCB,PBKS,PBKS,Chepauk,Batting,Cloudy,237,9,17.5,PBKS
RR,CSK,RR,Chinnaswamy Stadium,Balanced,Hot,229,7,16.8,RR
CSK,RR,RR,Chinnaswamy Stadium,Bowling,Hot,191,0,16.8,CSK
PBKS,DC,DC,Narendra Modi Stadium,Batting,Hot,188,1,17.2,PBKS
GT,KKR,GT,Chinnaswamy Stadium,Balanced,Cloudy,167,3,8.0,GT
KKR,SRH,KKR,Eden Gardens,Balanced,Hot,137,10,8.2,SRH
PBKS,DC,PBKS,Chepauk,Batting,Cloudy,185,7,6.9,DC
SRH,LSG,LSG,Eden Gardens,Balanced,Humid,215,5,10.3,LSG
LSG,DC,LSG,Chepauk,Batting,Hot,228,0,18.7,LSG
RCB,CSK,CSK,Eden Gardens,Balanced,Hot,243,10,12.3,CSK
LSG,KKR,KKR,Chinnaswamy Stadium,Balanced,Cloudy,166,9,14.6,KKR
GT,MI,MI,Narendra Modi Stadium,Batting,Cloudy,122,0,16.8,MI
DC,LSG,DC,Chinnaswamy Stadium,Batting,Humid,143,3,17.7,LSG
MI,LSG,LSG,Eden Gardens,Balanced,Humid,248,8,14.6,MI
DC,RCB,RCB,Chepauk,Batting,Humid,135,1,13.8,DC
KKR,CSK,KKR,Wankhede Stadium,Bowling,Hot,180,7,9.5,KKR
LSG,PBKS,PBKS,Wankhede Stadium,Balanced,Humid,180,5,5.9,LSG
SRH,PBKS,PBKS,Eden Gardens,Batting,Humid,141,1,11.2,PBKS
RR,MI,RR,Eden Gardens,Batting,Hot,244,10,11.4,RR
CSK,SRH,CSK,Chepauk,Balanced,Cloudy,194,4,9.8,SRH
LSG,CSK,CSK,Chepauk,Batting,Humid,122,3,12.7,LSG
SRH,GT,GT,Wankhede Stadium,Batting,Cloudy,230,0,6.8,GT
LSG,GT,GT,Chepauk,Balanced,Humid,232,5,9.5,GT
SRH,RR,RR,Eden Gardens,Balanced,Hot,205,1,9.4,RR
GT,SRH,GT,Eden Gardens,Balanced,Humid,246,2,15.7,SRH
MI,LSG,MI,Eden Gardens,Batting,Hot,173,7,9.8,MI
KKR,SRH,SRH,Narendra Modi Stadium,Batting,Hot,137,4,14.6,KKR
SRH,DC,SRH,Eden Gardens,Bowling,Hot,146,5,11.8,DC
CSK,SRH,CSK,Wankhede Stadium,Bowling,Hot,243,3,5.2,SRH
MI,DC,MI,Narendra Modi Stadium,Bowling,Humid,142,10,12.1,MI
GT,SRH,SRH,Chinnaswamy Stadium,Bowling,Cloudy,136,3,5.6,GT
GT,PBKS,GT,Wankhede Stadium,Balanced,Hot,211,3,6.4,GT
GT,SRH,SRH,Narendra Modi Stadium,Bowling,Cloudy,158,10,8.2,GT
DC,LSG,DC,Wankhede Stadium,Balanced,Cloudy,122,0,7.7,DC
RCB,PBKS,RCB,Narendra Modi Stadium,Balanced,Humid,230,3,7.5,PBKS
SRH,RR,RR,Wankhede Stadium,Balanced,Humid,120,7,14.4,RR
SRH,PBKS,SRH,Eden Gardens,Batting,Humid,221,4,17.9,PBKS
RR,GT,GT,Wankhede Stadium,Bowling,Hot,191,2,7.0,GT
SRH,LSG,SRH,Chinnaswamy Stadium,Batting,Humid,202,1,5.8,LSG
SRH,GT,GT,Chepauk,Balanced,Humid,144,7,18.3,SRH
RR,SRH,SRH,Eden Gardens,Bowling,Humid,191,7,15.6,SRH
PBKS,RCB,PBKS,Chepauk,Balanced,Humid,140,4,13.8,RCB
LSG,KKR,KKR,Wankhede Stadium,Bowling,Humid,167,4,12.6,LSG
SRH,PBKS,SRH,Eden Gardens,Bowling,Humid,188,6,11.5,PBKS
KKR,MI,KKR,Narendra Modi Stadium,Bowling,Hot,123,2,15.8,KKR
RR,MI,RR,Eden Gardens,Bowling,Cloudy,234,8,18.8,MI
GT,PBKS,PBKS,Narendra Modi Stadium,Bowling,Hot,245,3,8.1,GT
RR,MI,RR,Eden Gardens,Batting,Cloudy,146,6,17.5,MI
MI,SRH,SRH,Narendra Modi Stadium,Balanced,Cloudy,238,1,9.9,MI
PBKS,GT,PBKS,Narendra Modi Stadium,Batting,Cloudy,197,3,14.2,GT
MI,SRH,SRH,Wankhede Stadium,Bowling,Cloudy,202,10,11.0,MI
PBKS,KKR,KKR,Narendra Modi Stadium,Bowling,Humid,200,6,13.0,PBKS
RR,MI,RR,Narendra Modi Stadium,Bowling,Hot,148,6,19.4,MI
CSK,RCB,CSK,Chepauk,Bowling,Humid,199,0,17.2,CSK
SRH,MI,SRH,Chinnaswamy Stadium,Batting,Cloudy,240,9,17.8,MI
MI,KKR,KKR,Chinnaswamy Stadium,Batting,Hot,163,3,13.4,KKR
SRH,DC,SRH,Narendra Modi Stadium,Balanced,Hot,245,2,6.5,DC
LSG,RCB,LSG,Wankhede Stadium,Bowling,Hot,135,4,11.1,RCB
GT,CSK,GT,Chepauk,Bowling,Hot,193,4,17.2,GT
RR,KKR,KKR,Narendra Modi Stadium,Balanced,Hot,160,9,7.8,KKR
RCB,CSK,CSK,Eden Gardens,Batting,Hot,154,7,14.2,CSK
KKR,GT,GT,Chepauk,Bowling,Hot,150,8,14.3,GT
SRH,PBKS,SRH,Narendra Modi Stadium,Balanced,Hot,169,1,16.4,SRH
CSK,PBKS,CSK,Eden Gardens,Batting,Cloudy,240,8,7.9,PBKS
SRH,KKR,KKR,Chepauk,Bowling,Hot,149,0,16.2,KKR
KKR,SRH,SRH,Chepauk,Bowling,Humid,132,1,9.2,SRH
GT,RCB,RCB,Wankhede Stadium,Balanced,Humid,158,5,9.3,RCB
PBKS,CSK,CSK,Chepauk,Balanced,Cloudy,244,6,13.2,PBKS
RR,MI,RR,Wankhede Stadium,Balanced,Humid,145,5,10.2,RR
SRH,MI,SRH,Eden Gardens,Batting,Hot,204,8,15.1,MI
CSK,LSG,LSG,Chinnaswamy Stadium,Balanced,Cloudy,198,8,15.2,CSK
SRH,KKR,KKR,Wankhede Stadium,Balanced,Humid,242,5,11.9,KKR
RCB,DC,DC,Chepauk,Bowling,Humid,249,4,7.9,DC
RR,RCB,RR,Wankhede Stadium,Balanced,Cloudy,209,0,15.2,RCB
CSK,DC,CSK,Wankhede Stadium,Balanced,Hot,166,0,11.3,DC
MI,GT,GT,Wankhede Stadium,Balanced,Cloudy,178,1,16.7,MI
MI,CSK,CSK,Chepauk,Batting,Hot,122,0,19.4,MI
LSG,GT,LSG,Narendra Modi Stadium,Bowling,Hot,166,1,18.1,GT
GT,PBKS,PBKS,Eden Gardens,Balanced,Hot,178,10,7.5,GT
GT,DC,DC,Chinnaswamy Stadium,Batting,Humid,145,1,8.3,GT
LSG,RR,RR,Narendra Modi Stadium,Balanced,Hot,250,5,5.4,LSG
MI,LSG,MI,Chinnaswamy Stadium,Bowling,Cloudy,155,0,6.5,MI
GT,DC,DC,Eden Gardens,Batting,Hot,183,8,9.5,DC
GT,SRH,GT,Chinnaswamy Stadium,Batting,Cloudy,146,5,17.8,GT
LSG,PBKS,LSG,Chinnaswamy Stadium,Balanced,Hot,182,8,19.0,LSG
DC,KKR,KKR,Narendra Modi Stadium,Bowling,Cloudy,130,2,18.9,KKR
DC,PBKS,PBKS,Eden Gardens,Batting,Cloudy,248,7,6.2,DC
